group,credit_score,repay_prob,loan_granted
white,583.7,0.3813,0
white,846.3,0.9534,0
white,694.3,0.7293,0
white,646.7,0.5882,0
white,513.9,0.1955,0
white,513.9,0.1955,0
white,460.3,0.1063,0
white,770.9,0.882,0
white,647.5,0.5907,0
white,684.6,0.703,0
white,415.4,0.0614,0
white,847.7,0.9542,0
white,746.8,0.8444,0
white,534.6,0.2427,0
white,524.0,0.2175,0
white,524.5,0.2188,0
white,563.6,0.3203,0
white,625.2,0.5174,0
white,599.5,0.432,0
white,559.8,0.3094,0
white,650.8,0.6013,0
white,507.0,0.1814,0
white,560.0,0.3101,0
white,581.4,0.374,0
white,606.1,0.4539,0
white,719.3,0.7898,0
white,530.3,0.2322,0
white,622.1,0.5071,0
white,644.8,0.5819,0
white,450.1,0.094,0
white,649.5,0.5971,0
white,519.7,0.208,0
white,465.7,0.1133,0
white,846.2,0.9533,0
white,847.4,0.954,0
white,731.9,0.8165,0
white,563.7,0.3206,0
white,486.5,0.1442,0
white,675.5,0.6771,0
white,601.7,0.4394,0
white,499.1,0.1663,0
white,616.9,0.4896,0
white,436.7,0.0799,0
white,812.0,0.9282,0
white,549.8,0.2818,0
white,667.6,0.6534,0
white,565.7,0.3266,0
white,623.8,0.5128,0
white,631.4,0.5378,0
white,525.0,0.2199,0
white,847.7,0.9542,0
white,714.3,0.7786,0
white,845.5,0.9528,0
white,796.3,0.913,0
white,646.5,0.5874,0
white,827.5,0.9409,0
white,481.2,0.1357,0
white,529.0,0.2291,0
white,448.9,0.0927,0
white,569.7,0.3384,0
white,587.6,0.3936,0
white,553.7,0.2925,0
white,744.5,0.8403,0
white,578.6,0.3653,0
white,556.7,0.3007,0
white,630.2,0.5341,0
white,507.6,0.1827,0
white,728.4,0.8094,0
white,472.4,0.1226,0
white,849.0,0.9549,0
white,712.9,0.7753,0
white,530.0,0.2314,0
white,372.0,0.0353,0
white,736.3,0.8251,0
white,684.1,0.7017,0
white,693.1,0.726,0
white,712.4,0.7741,0
white,472.0,0.1221,0
white,579.1,0.3669,0
white,496.2,0.1609,0
white,768.3,0.8784,0
white,654.5,0.6131,0
white,571.3,0.3432,0
white,464.6,0.1119,0
white,565.5,0.326,0
white,569.7,0.3382,0
white,693.3,0.7267,0
white,659.3,0.6279,0
white,788.8,0.9047,0
white,610.6,0.4686,0
white,498.0,0.1643,0
white,686.6,0.7084,0
white,707.2,0.7618,0
white,635.6,0.5517,0
white,712.2,0.7738,0
white,616.5,0.4884,0
white,624.6,0.5154,0
white,598.3,0.4281,0
white,424.6,0.0688,0
white,492.1,0.1537,0
white,433.1,0.0764,0
white,658.9,0.6268,0
white,566.5,0.3289,0
white,620.6,0.5019,0
white,809.8,0.9263,0
white,546.9,0.2738,0
white,593.5,0.4127,0
white,704.8,0.7558,0
white,540.1,0.2562,0
white,474.0,0.125,0
white,559.3,0.3081,0
white,516.0,0.2,0
white,838.5,0.9485,0
white,731.8,0.8161,0
white,657.9,0.6237,0
white,775.2,0.8879,0
white,729.2,0.811,0
white,525.7,0.2213,0
white,794.1,0.9106,0
white,629.3,0.531,0
white,731.4,0.8153,0
white,797.6,0.9143,0
white,567.6,0.332,0
white,493.3,0.1558,0
white,539.8,0.2555,0
white,598.2,0.4277,0
white,737.9,0.8281,0
white,766.4,0.8756,0
white,379.0,0.0387,0
white,621.2,0.5039,0
white,595.5,0.419,0
white,537.9,0.2507,0
white,498.1,0.1645,0
white,573.2,0.349,0
white,845.7,0.953,0
white,569.1,0.3365,0
white,623.5,0.5116,0
white,682.7,0.6976,0
white,580.6,0.3715,0
white,847.9,0.9543,0
white,847.2,0.9539,0
white,547.7,0.276,0
white,617.5,0.4915,0
white,562.6,0.3174,0
white,557.9,0.3041,0
white,439.8,0.083,0
white,650.1,0.5991,0
white,619.0,0.4965,0
white,454.8,0.0995,0
white,556.0,0.2987,0
white,810.7,0.9271,0
white,543.6,0.2654,0
white,509.3,0.186,0
white,615.3,0.4844,0
white,848.9,0.9549,0
white,544.5,0.2675,0
white,671.0,0.6636,0
white,707.6,0.7628,0
white,543.0,0.2637,0
white,692.8,0.7252,0
white,581.8,0.3753,0
white,657.5,0.6225,0
white,657.9,0.6238,0
white,628.3,0.5278,0
white,482.3,0.1375,0
white,748.6,0.8475,0
white,568.4,0.3344,0
white,525.6,0.2213,0
white,444.5,0.0878,0
white,644.3,0.5804,0
white,673.0,0.6696,0
white,408.0,0.0559,0
white,621.5,0.5052,0
white,539.3,0.2543,0
white,661.8,0.6357,0
white,521.2,0.2113,0
white,678.1,0.6845,0
white,587.0,0.3919,0
white,845.2,0.9527,0
white,506.1,0.1796,0
white,574.2,0.3519,0
white,495.0,0.1588,0
white,831.3,0.9436,0
white,780.1,0.8942,0
white,549.6,0.2811,0
white,666.7,0.6507,0
white,737.4,0.8271,0
white,633.8,0.5458,0
white,626.6,0.5221,0
white,544.4,0.2674,0
white,483.9,0.1401,0
white,798.7,0.9155,0
white,801.9,0.9187,0
white,657.8,0.6233,0
white,573.6,0.3502,0
white,576.4,0.3587,0
white,691.8,0.7227,0
